image_size,file_path,file_name,file_extension,file_size,watch_brand,watch_model,watch_name
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-7.jpg,Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-7.jpg,.jpg,"(111.2, 'KB')",Sinn,103,['Sinn 103.B.SA.CR White Dial Limited Edition to 100pcs']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-8.jpg,Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-8.jpg,.jpg,"(125.4, 'KB')",Sinn,103,['Sinn 103.B.SA.CR White Dial Limited Edition to 100pcs']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-9.jpg,Sinn_103.B.SA.CR_White_Dial_Limited_Edition_to_100pcs-9.jpg,.jpg,"(128.2, 'KB')",Sinn,103,['Sinn 103.B.SA.CR White Dial Limited Edition to 100pcs']
"(960, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-1.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-1.jpg,.jpg,"(177.0, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-10.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-10.jpg,.jpg,"(95.4, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-11.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-11.jpg,.jpg,"(91.0, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-12.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-12.jpg,.jpg,"(103.8, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(960, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-13.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-13.jpg,.jpg,"(109.3, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(815, 455)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-14.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-14.jpg,.jpg,"(89.1, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-15.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-15.jpg,.jpg,"(86.6, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-16.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-16.jpg,.jpg,"(72.2, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(960, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-2.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-2.jpg,.jpg,"(175.2, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-3.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-3.jpg,.jpg,"(125.1, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-4.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-4.jpg,.jpg,"(120.6, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-5.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-5.jpg,.jpg,"(97.1, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-6.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-6.jpg,.jpg,"(90.3, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-7.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-7.jpg,.jpg,"(80.6, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-8.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-8.jpg,.jpg,"(78.3, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 853)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103.SA.B.E_500_pieces_Limited_Edition-9.jpg,Sinn_103.SA.B.E_500_pieces_Limited_Edition-9.jpg,.jpg,"(94.2, 'KB')",Sinn,103,['Sinn 103.SA.B.E 500 pieces Limited Edition']
"(1280, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103ST_SA-1.jpg,Sinn_103ST_SA-1.jpg,.jpg,"(177.5, 'KB')",Sinn,103,['Sinn 103ST SA']
"(1280, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103ST_SA-2.jpg,Sinn_103ST_SA-2.jpg,.jpg,"(130.5, 'KB')",Sinn,103,['Sinn 103ST SA']
"(1280, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103ST_SA-3.jpg,Sinn_103ST_SA-3.jpg,.jpg,"(152.3, 'KB')",Sinn,103,['Sinn 103ST SA']
"(1280, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103ST_SA-4.jpg,Sinn_103ST_SA-4.jpg,.jpg,"(88.2, 'KB')",Sinn,103,['Sinn 103ST SA']
"(1280, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103ST_SA-5.jpg,Sinn_103ST_SA-5.jpg,.jpg,"(138.5, 'KB')",Sinn,103,['Sinn 103ST SA']
"(1280, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103ST_SA-6.jpg,Sinn_103ST_SA-6.jpg,.jpg,"(143.3, 'KB')",Sinn,103,['Sinn 103ST SA']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-1.jpg,Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-1.jpg,.jpg,"(157.2, 'KB')",Sinn,103,['Sinn 103 A Sa Fliegerchronograp Panda 103.060']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-2.jpg,Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-2.jpg,.jpg,"(108.7, 'KB')",Sinn,103,['Sinn 103 A Sa Fliegerchronograp Panda 103.060']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-3.jpg,Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-3.jpg,.jpg,"(88.8, 'KB')",Sinn,103,['Sinn 103 A Sa Fliegerchronograp Panda 103.060']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-4.jpg,Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-4.jpg,.jpg,"(91.7, 'KB')",Sinn,103,['Sinn 103 A Sa Fliegerchronograp Panda 103.060']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-5.jpg,Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-5.jpg,.jpg,"(102.3, 'KB')",Sinn,103,['Sinn 103 A Sa Fliegerchronograp Panda 103.060']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-6.jpg,Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-6.jpg,.jpg,"(93.9, 'KB')",Sinn,103,['Sinn 103 A Sa Fliegerchronograp Panda 103.060']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-7.jpg,Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-7.jpg,.jpg,"(108.3, 'KB')",Sinn,103,['Sinn 103 A Sa Fliegerchronograp Panda 103.060']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-8.jpg,Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-8.jpg,.jpg,"(142.5, 'KB')",Sinn,103,['Sinn 103 A Sa Fliegerchronograp Panda 103.060']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-9.jpg,Sinn_103_A_Sa_Fliegerchronograp_Panda_103.060-9.jpg,.jpg,"(76.5, 'KB')",Sinn,103,['Sinn 103 A Sa Fliegerchronograp Panda 103.060']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-1.jpg,Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-1.jpg,.jpg,"(120.8, 'KB')",Sinn,103,"['Sinn 103 B.SA.WH White Dial Limited Edition ', ' Revision 2018']"
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-2.jpg,Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-2.jpg,.jpg,"(106.4, 'KB')",Sinn,103,"['Sinn 103 B.SA.WH White Dial Limited Edition ', ' Revision 2018']"
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-3.jpg,Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-3.jpg,.jpg,"(104.6, 'KB')",Sinn,103,"['Sinn 103 B.SA.WH White Dial Limited Edition ', ' Revision 2018']"
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-4.jpg,Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-4.jpg,.jpg,"(102.3, 'KB')",Sinn,103,"['Sinn 103 B.SA.WH White Dial Limited Edition ', ' Revision 2018']"
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-5.jpg,Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-5.jpg,.jpg,"(101.2, 'KB')",Sinn,103,"['Sinn 103 B.SA.WH White Dial Limited Edition ', ' Revision 2018']"
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-6.jpg,Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-6.jpg,.jpg,"(79.7, 'KB')",Sinn,103,"['Sinn 103 B.SA.WH White Dial Limited Edition ', ' Revision 2018']"
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-7.jpg,Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-7.jpg,.jpg,"(117.1, 'KB')",Sinn,103,"['Sinn 103 B.SA.WH White Dial Limited Edition ', ' Revision 2018']"
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-8.jpg,Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-8.jpg,.jpg,"(124.5, 'KB')",Sinn,103,"['Sinn 103 B.SA.WH White Dial Limited Edition ', ' Revision 2018']"
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-9.jpg,Sinn_103_B.SA.WH_White_Dial_Limited_Edition_-_Revision_2018-9.jpg,.jpg,"(92.6, 'KB')",Sinn,103,"['Sinn 103 B.SA.WH White Dial Limited Edition ', ' Revision 2018']"
"(801, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-1.jpg,Sinn_103_B_HD_first_execution-1.jpg,.jpg,"(116.2, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 691)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-10.jpg,Sinn_103_B_HD_first_execution-10.jpg,.jpg,"(119.4, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 942)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-11.jpg,Sinn_103_B_HD_first_execution-11.jpg,.jpg,"(137.4, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 752)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-12.jpg,Sinn_103_B_HD_first_execution-12.jpg,.jpg,"(115.2, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 690)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-13.jpg,Sinn_103_B_HD_first_execution-13.jpg,.jpg,"(112.7, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 827)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-14.jpg,Sinn_103_B_HD_first_execution-14.jpg,.jpg,"(132.6, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(830, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-15.jpg,Sinn_103_B_HD_first_execution-15.jpg,.jpg,"(117.1, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 688)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-2.jpg,Sinn_103_B_HD_first_execution-2.jpg,.jpg,"(110.8, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 741)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-3.jpg,Sinn_103_B_HD_first_execution-3.jpg,.jpg,"(139.9, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 444)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-4.jpg,Sinn_103_B_HD_first_execution-4.jpg,.jpg,"(44.6, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 927)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-5.jpg,Sinn_103_B_HD_first_execution-5.jpg,.jpg,"(117.9, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 742)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-6.jpg,Sinn_103_B_HD_first_execution-6.jpg,.jpg,"(79.3, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(840, 835)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-7.jpg,Sinn_103_B_HD_first_execution-7.jpg,.jpg,"(126.1, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(802, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-8.jpg,Sinn_103_B_HD_first_execution-8.jpg,.jpg,"(121.1, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(810, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_B_HD_first_execution-9.jpg,Sinn_103_B_HD_first_execution-9.jpg,.jpg,"(150.5, 'KB')",Sinn,103,['Sinn 103 B HD first execution']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-1.jpg,Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-1.jpg,.jpg,"(131.3, 'KB')",Sinn,103,['Sinn 103 Diapal Meisterbund II Chronograph Limited Edition']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-2.jpg,Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-2.jpg,.jpg,"(99.8, 'KB')",Sinn,103,['Sinn 103 Diapal Meisterbund II Chronograph Limited Edition']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-3.jpg,Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-3.jpg,.jpg,"(96.4, 'KB')",Sinn,103,['Sinn 103 Diapal Meisterbund II Chronograph Limited Edition']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-4.jpg,Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-4.jpg,.jpg,"(99.1, 'KB')",Sinn,103,['Sinn 103 Diapal Meisterbund II Chronograph Limited Edition']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-5.jpg,Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-5.jpg,.jpg,"(94.8, 'KB')",Sinn,103,['Sinn 103 Diapal Meisterbund II Chronograph Limited Edition']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-6.jpg,Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-6.jpg,.jpg,"(87.4, 'KB')",Sinn,103,['Sinn 103 Diapal Meisterbund II Chronograph Limited Edition']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-7.jpg,Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-7.jpg,.jpg,"(129.3, 'KB')",Sinn,103,['Sinn 103 Diapal Meisterbund II Chronograph Limited Edition']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-8.jpg,Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-8.jpg,.jpg,"(131.4, 'KB')",Sinn,103,['Sinn 103 Diapal Meisterbund II Chronograph Limited Edition']
"(1280, 854)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-9.jpg,Sinn_103_Diapal_Meisterbund_II_Chronograph_Limited_Edition-9.jpg,.jpg,"(69.7, 'KB')",Sinn,103,['Sinn 103 Diapal Meisterbund II Chronograph Limited Edition']
"(811, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Helmut_Sinn_Era-1.jpg,Sinn_103_Helmut_Sinn_Era-1.jpg,.jpg,"(156.7, 'KB')",Sinn,103,['Sinn 103 Helmut Sinn Era']
"(840, 671)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Helmut_Sinn_Era-10.jpg,Sinn_103_Helmut_Sinn_Era-10.jpg,.jpg,"(93.5, 'KB')",Sinn,103,['Sinn 103 Helmut Sinn Era']
"(840, 873)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Helmut_Sinn_Era-11.jpg,Sinn_103_Helmut_Sinn_Era-11.jpg,.jpg,"(127.8, 'KB')",Sinn,103,['Sinn 103 Helmut Sinn Era']
"(690, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Helmut_Sinn_Era-12.jpg,Sinn_103_Helmut_Sinn_Era-12.jpg,.jpg,"(116.7, 'KB')",Sinn,103,['Sinn 103 Helmut Sinn Era']
"(657, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Helmut_Sinn_Era-13.jpg,Sinn_103_Helmut_Sinn_Era-13.jpg,.jpg,"(98.6, 'KB')",Sinn,103,['Sinn 103 Helmut Sinn Era']
"(840, 706)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Helmut_Sinn_Era-14.jpg,Sinn_103_Helmut_Sinn_Era-14.jpg,.jpg,"(76.4, 'KB')",Sinn,103,['Sinn 103 Helmut Sinn Era']
"(706, 960)",/home/neronicolo/programming/data/chrono24/Sinn_1/Sinn/103/Sinn_103_Helmut_Sinn_Era-15.jpg,Sinn_103_Helmut_Sinn_Era-15.jpg,.jpg,"(111.8, 'KB')",Sinn,103,['Sinn 103 Helmut Sinn Era']
