image_size_x,image_size_y,name,dial_visibility,dial_visibility_p_0,dial_visibility_p_1,like,like_p_0,like_p_1,image_quality
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_a_1815_up_&_down_221.021_36mm_power_reserve_18k_yellow_gold_extras-4.jpg,1.0,0.5074622631072998,0.492537796497345,-1.0,-1,-1,-1.0
1280,854,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_lange_platinum_1815_200th_ann._f._a._limited_200_pcs._-_236.049-6.jpg,1.0,0.5523861050605774,0.4476139545440674,-1.0,-1,-1,-1.0
1280,741,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/1815/a._lange_&_soehne_watch_1815_233.026-5.jpg,0.0,0.4127236604690552,0.5872763395309448,-1.0,-1,-1,-1.0
480,480,"chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_,_900-_silber,_marine-beobachtungsuhr,_auf_&_ab,_i._klasse-9.jpg",0.0,0.5557456612586975,0.4442543089389801,-1.0,-1,-1,-1.0
640,425,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_140.029-2.jpg,1.0,0.5619742274284363,0.4380257427692413,-1.0,-1,-1,-1.0
561,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_a.lange-uhr_glashuette_isa_14ct_gold_art_deco_herrenuhr-2.jpg,1.0,0.5485901832580566,0.451409786939621,-1.0,-1,-1,-1.0
568,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_a.lange-uhr_glashuette_isa_14ct_gold_art_deco_herrenuhr-3.jpg,1.0,0.5304302573204039,0.469569742679596,-1.0,-1,-1,-1.0
491,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_a.lange-uhr_glashuette_isa_14ct_gold_art_deco_herrenuhr-5.jpg,0.0,0.5724385976791382,0.4275613725185394,-1.0,-1,-1,-1.0
1280,853,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_ankerchronometer-8.jpg,0.0,0.4841199219226837,0.5158800482749939,-1.0,-1,-1,-1.0
1280,853,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_antique_half-savonette_pocket_watch_18k_gold_museum_quality-7.jpg,1.0,0.5723601579666138,0.42763981223106384,-1.0,-1,-1,-1.0
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_damentaschenuhr-6.jpg,1.0,0.570059061050415,0.4299409091472626,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_glashuette_1a_taschenuhr_18ct_aussenscharnier-17.jpg,1.0,0.4887668192386627,0.5112331509590149,-1.0,-1,-1,-1.0
634,480,"chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_glashuette_bdresden,_minuten-repetition,_1a-qualitaet,_bj._1902-2.jpg",1.0,0.5870848894119263,0.4129151105880737,-1.0,-1,-1,-1.0
500,480,"chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_glashuette_marine-schiffschronometer,_nr._1224,_40iger_jahre-5.jpg",0.0,0.5945928692817688,0.4054070711135864,-1.0,-1,-1,-1.0
1280,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_lange_gradmass_beobachtungsuhr-4.jpg,0.0,0.5588672161102295,0.4411327540874481,-1.0,-1,-1,-1.0
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_mans_pocketwatch_savonette_deutsche_uhrenfabrikation_a._lange_&_soehne_glashuette-11.jpg,0.0,0.4725001752376557,0.5274997949600221,-1.0,-1,-1,-1.0
1280,853,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_original_box._b.j._ca._1880-1885_sammlerstueck-1.jpg,0.0,0.5380408763885498,0.4619591534137726,-1.0,-1,-1,-1.0
1280,853,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_original_box._b.j._ca._1880-1885_sammlerstueck-7.jpg,0.0,0.5196757912635803,0.4803242385387421,-1.0,-1,-1,-1.0
639,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_prunktaschenuhr_mit_museums_zertifikat-10.jpg,0.0,0.4257400035858154,0.5742600560188293,-1.0,-1,-1,-1.0
770,898,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_taschenuhr-77.jpg,1.0,0.5934954881668091,0.4065045416355133,-1.0,-1,-1,-1.0
941,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_taschenuhr_14k_gold_savonette_1924_box_papire-4.jpg,0.0,0.5836408138275146,0.4163592159748077,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_taschenuhr_duf_handaufzug_585000_rosgold_1906_50_mm-4.jpg,0.0,0.4399226605892181,0.5600773096084595,-1.0,-1,-1,-1.0
965,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_taschenuhr_savonette_neuwertig_box_certifikat_1923_gold-10.jpg,0.0,0.4394438862800598,0.5605561137199402,-1.0,-1,-1,-1.0
639,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_teile_goldarmbanduhr_36mm-9.jpg,0.0,0.5900927186012268,0.4099072217941284,-1.0,-1,-1,-1.0
1200,718,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/_without_model/a._lange_&_soehne_wwii_aviator_fl23883-7.jpg,0.0,0.4717580080032349,0.5282420516014099,-1.0,-1,-1,-1.0
1280,174,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/cabaret/a._lange_&_soehne_cabaret_18ct_gelbgold_mit_zertifikat-12.jpg,1.0,0.4906059205532074,0.5093941688537598,-1.0,-1,-1,-1.0
640,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/cabaret/a._lange_&_soehne_cabaret_18kt_750_gold_handaufzug_damenuhr__ref_827.043-13.jpg,0.0,0.5877826809883118,0.4122173488140106,-1.0,-1,-1,-1.0
640,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/cabaret/a._lange_&_soehne_cabaret_18kt_750_gold_handaufzug_damenuhr__ref_827.043-4.jpg,0.0,0.5877826809883118,0.4122173488140106,-1.0,-1,-1,-1.0
1280,959,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/cabaret/a._lange_&_soehne_cabaret_18kt_rosgold_b&p-4.jpg,1.0,0.5753089785575867,0.4246909916400909,-1.0,-1,-1,-1.0
640,480,"chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/cabaret/a._lange_&_soehne_cabaret_diamonds_joaillerie,_rotgold,_goldband,_244_brillanten,_44_x_27,5mm,_808.040-2.jpg",1.0,0.5043803453445435,0.4956196248531342,-1.0,-1,-1,-1.0
640,640,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/cabaret/a._lange_&_soehne_cabaret_ref_107.032_rose_gold-11.jpg,1.0,0.4312548935413361,0.5687450766563416,-1.0,-1,-1,-1.0
538,620,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/cabaret/a._lange_&_soehne_cabaret_tourbillon-9.jpg,1.0,0.44182607531547546,0.5581738948822021,-1.0,-1,-1,-1.0
822,822,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/datograph/a._lange_&_soehne_405.035_datograph_updown_platinum_41mm-3.jpg,1.0,0.4346974790096283,0.5653025507926941,-1.0,-1,-1,-1.0
1203,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/datograph/a._lange_&_soehne_datograph_flyback_box_and_papers.-6.jpg,0.0,0.5929068326950073,0.4070932269096375,-1.0,-1,-1,-1.0
600,473,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/datograph/a._lange_&_soehne_datograph_flyback_rosgold_403.032-3.jpg,1.0,0.5737542510032654,0.4262457489967346,-1.0,-1,-1,-1.0
1260,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/datograph/a._lange_&_soehne_datograph_perpetual_platin_410.025-8.jpg,1.0,0.5542891621589661,0.4457107782363892,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/double_split/a._lange_&_soehne_double_split_platinum-7.jpg,0.0,0.4422593414783478,0.5577406287193298,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/double_split/a._lange_&_soehne_lange_double_split-15.jpg,1.0,0.509402334690094,0.4905977547168732,-1.0,-1,-1,-1.0
800,640,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_lange_1/a._lange_&_soehne_139.025_grande_lange_1_moon_platinum_(30772)-10.jpg,0.0,0.4575434327125549,0.5424565672874451,-1.0,-1,-1,-1.0
1200,800,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_lange_1/a._lange_&_soehne_grand_lange_1-142.jpg,1.0,0.4242359101772308,0.5757640600204468,-1.0,-1,-1,-1.0
1280,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_lange_1/a._lange_&_soehne_grand_lange_1-36.jpg,1.0,0.5010908246040344,0.4989092350006104,-1.0,-1,-1,-1.0
700,700,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_lange_1/a._lange_&_soehne_grand_lange_1_115.026-6.jpg,1.0,0.4175981283187866,0.5824018120765686,-1.0,-1,-1,-1.0
1164,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_lange_1/a._lange_&_soehne_grand_lange_1_115.031-12.jpg,0.0,0.5201045274734497,0.4798954427242279,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_lange_1/a._lange_&_soehne_grand_lange_1_moon_phase_139.032_18k_rose_gold-11.jpg,1.0,0.5919725298881531,0.4080275297164917,-1.0,-1,-1,-1.0
1280,854,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_lange_1/a._lange_&_soehne_grande_lange_1_lumen_limited_200_pcs_(very_low_single_digit_number)_-_117.035f-6.jpg,0.0,0.5010133981704712,0.4989865124225617,-1.0,-1,-1,-1.0
1200,900,"chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_lange_1/a._lange_&_soehne_grosse_grand_lange_1_platinum_40,9_mm_box_+_papers_082015-10.jpg",1.0,0.5739560127258301,0.4260439276695252,-1.0,-1,-1,-1.0
1280,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_lange_1/a._lange_&_soehne_grosse_lange1_gold_-_mint_--4.jpg,1.0,0.4080030620098114,0.591996967792511,-1.0,-1,-1,-1.0
312,91,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/grand_langematik/a._lange_&_soehne_grand_langematik_309-031_bigdate_18k_rose_gold-14.jpg,0.0,0.5936838388442993,0.4063161313533783,-1.0,-1,-1,-1.0
480,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_1_101.021-5.jpg,0.0,0.4424563646316528,0.5575436949729919,-1.0,-1,-1,-1.0
480,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_1__110.029-6.jpg,0.0,0.5133624672889711,0.4866374433040619,-1.0,-1,-1,-1.0
800,640,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_320.032_lange_1_daymatic_18k_rose_gold_(30725)-9.jpg,0.0,0.5055838227272034,0.49441620707511896,-1.0,-1,-1,-1.0
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1-134.jpg,1.0,0.5435386300086975,0.4564613997936249,-1.0,-1,-1,-1.0
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1._platinum_box_and_certificate-3.jpg,1.0,0.5027851462364197,0.4972148537635803,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_-_ref._101.032-6.jpg,0.0,0.4631318747997284,0.536868155002594,-1.0,-1,-1,-1.0
480,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_101.025-2.jpg,1.0,0.4615850448608398,0.5384149551391602,-1.0,-1,-1,-1.0
242,202,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_101.025-6.jpg,0.0,0.4158901572227478,0.5841098427772522,-1.0,-1,-1,-1.0
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_daymatic-32.jpg,1.0,0.5995525717735289,0.40044742822647095,-1.0,-1,-1,-1.0
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_daynight_moonphase_192.029_18wg_-complete_w_warranty-11.jpg,0.0,0.493360310792923,0.5066396594047546,-1.0,-1,-1,-1.0
480,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_gelbgold_101.321-4.jpg,0.0,0.4599578082561493,0.5400421619415283,-1.0,-1,-1,-1.0
800,640,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_tourbillon_perpetual-6.jpg,1.0,0.4847275018692017,0.5152725577354431,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_tourbillon_platinum_38.5mm_ref._704.025-10.jpg,1.0,0.4666499793529511,0.5333499908447266,-1.0,-1,-1,-1.0
480,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_tourbillon_rosgold_704.032-10.jpg,0.0,0.5433924198150635,0.4566075801849365,-1.0,-1,-1,-1.0
480,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_lange_1_zeitzone_platin-1.jpg,1.0,0.4890585541725159,0.5109413862228394,-1.0,-1,-1,-1.0
480,640,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_ref._704.025_limitiertes_lange_1_tourbillon_in_950_platin-12.jpg,1.0,0.550421416759491,0.4495786726474762,-1.0,-1,-1,-1.0
480,640,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_ref._704.025_limitiertes_lange_1_tourbillon_in_950_platin-14.jpg,1.0,0.5058715343475342,0.4941284954547882,-1.0,-1,-1,-1.0
1216,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_watch_lange_1_151.021-5.jpg,0.0,0.4016193747520447,0.5983806252479553,-1.0,-1,-1,-1.0
480,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_1/a._lange_&_soehne_zeitzone_950_platin_ref.116.025-5.jpg,1.0,0.4942356646060944,0.5057643055915833,-1.0,-1,-1,-1.0
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/lange_31/a._lange_&_soehne_lange_31-20.jpg,0.0,0.4415196180343628,0.5584803819656372,-1.0,-1,-1,-1.0
518,960,"chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/langematik/a._lange_&_soehne_langematik_sax-o-mat,_gelbgold,_grossdatum,_1._hd.,_revision-4.jpg",1.0,0.5510294437408447,0.4489705860614777,-1.0,-1,-1,-1.0
639,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/langematik_perpetual/a._lange_&_soehne_langematik_310.025_platin_950_ewiger_kalender_perpetual-3.jpg,1.0,0.42545610666275024,0.5745438933372498,-1.0,-1,-1,-1.0
1280,900,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/langematik_perpetual/a._lange_&_soehne_langematik_perpetual-12.jpg,1.0,0.5491552352905273,0.4508447051048279,-1.0,-1,-1,-1.0
829,553,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/langematik_perpetual/a._lange_&_soehne_langematik_perpetual-4.jpg,1.0,0.4898667335510254,0.5101333260536194,-1.0,-1,-1,-1.0
726,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/langematik_perpetual/a._lange_&_soehne_langematik_perpetual_calendar-3.jpg,1.0,0.4833135306835175,0.5166864395141602,-1.0,-1,-1,-1.0
640,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/langematik_perpetual/a._lange_&_soehne_langematik_perpetual_platinum-1.jpg,1.0,0.4851225018501282,0.5148774981498718,-1.0,-1,-1,-1.0
1280,925,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/little_lange_1/a._lange_&_soehne_little_lange_1_soire_rosgold_813.033-6.jpg,0.0,0.4922720193862915,0.5077279806137085,-1.0,-1,-1,-1.0
1280,930,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/richard_lange/a._lange_&_soehne_richard_lange_tourbillon_pour_le_merite_760.032f_18k_rg_bpaper-4.jpg,1.0,0.5916168689727783,0.4083831012248993,-1.0,-1,-1,-1.0
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/saxonia/a._lange_&_soehne_beobachtungsuhr_fl_23883_mit_zertifikat_wwii_kal._48.1-11.jpg,0.0,0.5794656872749329,0.4205342829227448,-1.0,-1,-1,-1.0
720,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/saxonia/a._lange_&_soehne_beobachtungsuhr_fl_23883_mit_zertifikat_wwii_kal._48.1-9.jpg,0.0,0.4879103004932404,0.512089729309082,-1.0,-1,-1,-1.0
640,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/saxonia/a._lange_&_soehne_saxonia_rare-5.jpg,0.0,0.41382458806037903,0.5861754417419434,-1.0,-1,-1,-1.0
662,662,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/saxonia/a._lange_&_soehne_saxonia_rosgold_216.032-8.jpg,0.0,0.5522933006286621,0.4477066695690155,-1.0,-1,-1,-1.0
427,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/saxonia/a._lange_&_soehne_saxonia_white_gold_330.026-11.jpg,1.0,0.4632051289081574,0.5367948412895203,-1.0,-1,-1,-1.0
1280,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne__(a._lange_&_soehne)_zeitwerk_rosegold_140.032-1.jpg,1.0,0.5717451572418213,0.4282548427581787,-1.0,-1,-1,-1.0
1086,724,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_lange_zeitwerk_-_full_set_-_very_good_condition_140.029-3.jpg,1.0,0.5191357135772705,0.4808642566204071,-1.0,-1,-1,-1.0
750,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_watch_zeitwerk_140.029-6.jpg,1.0,0.5855742692947388,0.4144256711006165,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk-37.jpg,1.0,0.5763484239578247,0.4236515462398529,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk-52.jpg,1.0,0.5213249325752258,0.478675127029419,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk-58.jpg,1.0,0.53629070520401,0.4637092649936676,-1.0,-1,-1,-1.0
427,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk_140.025-1.jpg,1.0,0.539800226688385,0.4601997435092926,-1.0,-1,-1,-1.0
427,480,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk_140.025-9.jpg,1.0,0.5570812225341797,0.4429187178611755,-1.0,-1,-1,-1.0
626,626,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk_140.029-1.jpg,1.0,0.5779380798339844,0.4220619797706604,-1.0,-1,-1,-1.0
626,626,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk_140.029_pre-owned-1.jpg,1.0,0.5779380798339844,0.4220619797706604,-1.0,-1,-1,-1.0
626,960,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk_18k_white_gold_mens_manual_watch_boxpapers_140.029-2.jpg,1.0,0.519244372844696,0.4807556569576264,-1.0,-1,-1,-1.0
640,640,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk_jumping_hours_in_white_gold-1.jpg,1.0,0.4107764661312103,0.5892235040664673,-1.0,-1,-1,-1.0
800,800,chrono24_dial_visibility_most_uncertain/a._lange_&_soehne_1/a._lange_&_soehne/zeitwerk/a._lange_&_soehne_zeitwerk_white_gold-8.jpg,1.0,0.5747480988502502,0.42525193095207214,-1.0,-1,-1,-1.0
322,478,chrono24_dial_visibility_most_uncertain/audemars_piguet_1/audemars_piguet/_without_model/audemars_piguet-9.jpg,1.0,0.4021783173084259,0.5978217124938965,-1.0,-1,-1,-1.0
480,480,chrono24_dial_visibility_most_uncertain/audemars_piguet_1/audemars_piguet/_without_model/audemars_piguet_$20_coin_watch_pre-owned-3.jpg,0.0,0.5060142874717712,0.493985652923584,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/audemars_piguet_1/audemars_piguet/_without_model/audemars_piguet_12p-14.jpg,0.0,0.4499127566814423,0.5500872135162354,-1.0,-1,-1,-1.0
960,960,chrono24_dial_visibility_most_uncertain/audemars_piguet_1/audemars_piguet/_without_model/audemars_piguet_12p-6.jpg,0.0,0.4499127566814423,0.5500872135162354,-1.0,-1,-1,-1.0
1280,853,chrono24_dial_visibility_most_uncertain/audemars_piguet_1/audemars_piguet/_without_model/audemars_piguet_18k_original_skeletonized_thin_watch_cal._2003_c._1970-80's-1.jpg,1.0,0.4966506361961365,0.5033493041992188,-1.0,-1,-1,-1.0
